Alfrancio Ferreira Dias ,Faixa A ,Universidade Federal de Sergipe ,SE ,UFS ,NE
Alfredo Copetti Neto ,Faixa A ,Universidade Regional do Noroeste do Estado do Rio ,RS ,UNIJUI ,SU
Alfredo Mendrone Junior ,Faixa A ,Fundação Pró-Sangue Hemocentro de São Paulo ,SP ,FPS/HSP ,SE
Alice Melo Ribeiro ,Faixa A ,Universidade de Brasília ,DF ,UnB ,CO
Alícia Duarte Penna ,Faixa A ,Pontifícia Universidade Católica de Minas Gerais ,MG ,PUC Minas ,SE
Aline Accorssi ,Faixa A ,Centro Universitário La Salle - Canoas ,RS ,UNILASALLE ,SU
Aline Cardoso Siqueira ,Faixa A ,Universidade Federal de Santa Maria ,RS ,UFSM ,SU
Aline Carlos de Oliveira ,Faixa A ,Universidade Federal de Mato Grosso ,MT ,UFMT ,CO
Aline Chaves Intorne ,Faixa A ,Universidade Estadual do Norte Fluminense Darcy R ,RJ ,UENF ,SE
Aline Cristina Sant'Anna ,Faixa A ,Universidade Federal de Juiz de Fora ,MG ,UFJF ,SE
Aline da Cruz ,Faixa A ,Universidade Federal de Goiás ,GO ,UFG ,CO
Aline de Freitas Brito ,Faixa A ,Universidade Federal do Piauí ,PI ,UFPI ,NE
Aline dos Santos Garcia Gomes ,Faixa A ,"Instituto Federal de Educação, Ciência e Tecnologia ",RJ ,IFRJ ,SE
Aline Evangelista de Souza Gabriel ,Faixa A ,Faculdade de Odontologia de Ribeirão Preto ,SP ,USP/RIB. PRETO ,SE
Aline Figueirêdo Nóbrega de Azerêdo ,Faixa A ,"Instituto Federal de Educação, Ciência e Tecnologia ",PB ,IFPB ,NE
Aline Lima de Oliveira ,Faixa A ,Universidade de Brasília ,DF ,UnB ,CO
Aline Lorandi ,Faixa A ,Universidade do Vale do Rio dos Sinos ,RS ,UNISINOS ,SU
Aline Rigon Zimmer ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Aline Rocha Borges ,Faixa A ,Instituto Federal do Paraná ,PR ,IFPR ,SU
Aline Viancelli ,Faixa A ,Universidade do Contestado ,SC ,UnC ,SU
Aline Vieira Landim ,Faixa A ,Universidade Estadual Vale do Acaraú ,CE ,UVA-CE ,NE
Alinne Pereira de Castro ,Faixa A ,Universidade Católica Dom Bosco ,MS ,UCDB ,CO
Alisson Moura Santos ,Faixa A ,Centro Nacional de Pesquisa de Florestas ,PR ,CNPF ,NO
Alisson Rodrigo Souza Reis ,Faixa A ,Universidade Federal do Pará ,PA ,UFPA ,NO
Allan Paulo Moreira dos Santos ,Faixa A ,Universidade Federal do Estado do Rio de Janeiro ,RJ ,UNIRIO ,SE
Alline Cristina de Campos ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Almir Manoel Cunico ,Faixa A ,Universidade Federal do Paraná ,PR ,UFPR ,SU
Almir Paulo Dos Santos ,Faixa A ,Universidade Federal da Fronteira Sul ,SC ,UFFS ,SU
Almir Rogério Pepato ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
Altanys Silva Calheiros ,Faixa A ,Instituto Federal de Alagoas - Matriz ,AL ,IFAL ,NE
Altevir Signor ,Faixa A ,Universidade Estadual do Oeste do Paraná ,PR ,UNIOESTE ,SU
Aluana Gonçalves de Abreu ,Faixa A ,Centro Nacional de Pesquisa de Arroz e Feijão ,GO ,Embrapa/CNPAF ,CO
Alvaro Antonio Ochoa Villa ,Faixa A ,Instituto Federal de Pernambuco ,PE ,IFPE ,NE
Alvaro Dutra de Carvalho Junior ,Faixa A ,Universidade Federal dos Vales do Jequitinhonha e M ,MG ,UFVJM ,SE
Alvaro Jose de Almeida Bicudo ,Faixa A ,Universidade Federal Rural de Pernambuco ,PE ,UFRPE ,NE
Álvaro Krüger Ramos ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Amadeu Moura Bego ,Faixa A ,Universidade Estadual Paulista Júlio de Mesquita Fil ,SP ,UNESP ,SE
